zone_type,zone_key,n,drive_hours_p25,drive_hours_median,drive_hours_p75
city,Albany,3,1.5,1.5,3.0
city,Bend,5,4.0,4.0,5.0
city,Coburg,22,0.75,0.75,1.0
city,Coos Bay,6,5.0,5.5,6.0
city,Corvallis,8,2.5,3.5,3.5
city,Cottage Grove,10,2.0,2.0,3.0
city,Creswell,11,2.0,2.0,2.5
city,Eugene,439,1.0,1.25,1.5
city,Fall Creek,4,2.0,2.0,2.0
city,Florence,3,4.0,5.0,5.0
city,Goshen,3,1.5,1.75,2.0
city,Harrisburg,13,1.0,1.25,1.25
city,Junction City,4,2.0,2.5,2.5
city,Monroe,4,2.0,3.5,3.5
city,Roseburg,5,3.5,4.0,4.0
city,Salem,3,2.0,2.5,2.5
city,Springfield,133,1.25,1.5,2.0
city,Thurston,3,1.0,1.5,1.5
city,Veneta,14,1.5,2.0,2.25
zip,97451,3,2.5,2.5,2.5
default,*,2243,1.0,1.5,2.0
