ord_nbr,line_nbr,line_kind,invt_id,descr,qty,unit,unit_price,ext_price,rev_acct
0206260087,1,material,0304321,EconoBark,15.0,YARD,33.6667,505.0,400000
0206260087,2,labor,0220502,Retail Labor Hours,4.7,HOURS,32.1809,151.25,400002
0206260087,3,equipment,0220503,Retail-Equipment Hours,2.35,HOURS,99.4681,233.75,400003
0206260078,1,material,0304321,EconoBark,9.0,YARD,37.2222,335.0,400000
0206260078,2,labor,0220502,Retail Labor Hours,7.25,HOURS,22.7586,165.0,400002
0206260078,3,equipment,0220503,Retail-Equipment Hours,3.63,HOURS,70.2479,255.0,400003
0206260075,1,material,0304321,EconoBark,24.0,YARD,34.4583,827.0,400000
0206260075,2,labor,0220502,Retail Labor Hours,5.27,HOURS,33.7761,178.0,400002
0206260075,3,equipment,0220503,Retail-Equipment Hours,2.64,HOURS,106.0606,280.0,400003
0206260076,1,material,0304321,EconoBark,4.0,YARD,50.0,200.0,400000
0206260076,2,labor,0220502,Retail Labor Hours,3.37,HOURS,36.7211,123.75,400002
0206260076,3,equipment,0220503,Retail-Equipment Hours,1.69,HOURS,113.1657,191.25,400003
0206260073,1,material,0301020,Premium Hemlock Bark,9.0,YARD,68.3333,615.0,400000
0206260073,2,labor,0220502,Retail Labor Hours,6.1,HOURS,24.7951,151.25,400002
0206260073,3,equipment,0220503,Retail-Equipment Hours,3.05,HOURS,76.6393,233.75,400003
0206260073,4,discount,0301020,Repeat Customer Discount,0.0,YARD,,-45.0,400000
0206260074,1,material,0301020,Premium Hemlock Bark,7.5,YARD,22.6667,170.0,400000
0206260074,2,labor,0220502,Retail Labor Hours,6.59,HOURS,18.7785,123.75,400002
0206260074,3,equipment,0220503,Retail-Equipment Hours,3.03,HOURS,63.1188,191.25,400003
0206260074,4,discount,0301020,Senior discount,0.0,YARD,,-85.0,400000
0206260069,1,material,0301020,Premium Hemlock Bark,10.0,YARD,64.5,645.0,400000
0206260069,2,labor,0220502,Retail Labor Hours,10.65,HOURS,16.784,178.75,400002
0206260069,3,equipment,0220503,Retail-Equipment Hours,3.55,HOURS,77.8169,276.25,400003
0206260069,4,discount,0301020,Repeat Customer Discount,0.0,YARD,,-45.0,400000
0206260070,1,material,0301020,Premium Hemlock Bark,15.0,YARD,49.6667,745.0,400000
0206260070,2,labor,0220502,Retail Labor Hours,6.97,HOURS,23.6729,165.0,400002
0206260070,3,equipment,0220503,Retail-Equipment Hours,3.49,HOURS,73.0659,255.0,400003
0206260071,1,material,0301020,Premium Hemlock Bark,16.0,YARD,58.125,930.0,400000
0206260071,2,labor,0220502,Retail Labor Hours,4.62,HOURS,35.7143,165.0,400002
0206260071,3,equipment,0220503,Retail-Equipment Hours,2.31,HOURS,110.3896,255.0,400003
0206260072,1,material,0301020,Premium Hemlock Bark,15.0,YARD,51.6667,775.0,400000
0206260072,2,labor,0220502,Retail Labor Hours,13.12,HOURS,13.6242,178.75,400002
0206260072,3,equipment,0220503,Retail-Equipment Hours,4.37,HOURS,63.2151,276.25,400003
0206260072,4,discount,0301020,Repeat Customer Discount,0.0,YARD,,-35.0,400000
0206260068,1,material,0302107,Rexius Premium Turf Start,15.0,YARD,35.0,525.0,400000
0206260068,2,labor,0220502,Retail Labor Hours,12.22,HOURS,102.7005,1255.0,400002
0206260068,3,equipment,0220503,Retail-Equipment Hours,8.43,HOURS,89.5611,755.0,400003
0206260054,1,material,0301322,BeautiBark,64.0,YARD,44.1172,2823.5,400000
0206260054,2,labor,0220502,Retail Labor Hours,13.03,HOURS,20.5679,268.0,400002
0206260054,3,equipment,0220503,Retail-Equipment Hours,6.52,HOURS,64.4172,420.0,400003
0206260054,4,discount,0301322,Repeat Customer Discount,0.0,YARD,,-200.0,400000
0206260055,1,material,0301020,Premium Hemlock Bark,13.0,YARD,57.3077,745.0,400000
0206260055,2,labor,0220502,Retail Labor Hours,9.68,HOURS,17.0455,165.0,400002
0206260055,3,equipment,0220503,Retail-Equipment Hours,3.23,HOURS,78.9474,255.0,400003
0206260055,4,discount,0301020,Senior Discount,0.0,YARD,,-25.0,400000
0206260056,1,material,0301020,Premium Hemlock Bark,23.0,YARD,58.7065,1350.25,400000
0206260056,2,labor,0220502,Retail Labor Hours,12.53,HOURS,19.5331,244.75,400002
0206260056,3,equipment,0220503,Retail-Equipment Hours,6.27,HOURS,61.4035,385.0,400003
0206260057,1,material,0302108,Rexius Primary Planting Soil,2.0,YARD,65.0,130.0,400000
0206260057,2,material,0205606,3/4 Open-Retail Drop Ship,2.0,YARD,65.0,130.0,400000
0206260057,3,labor,0220502,Retail Labor Hours,4.41,HOURS,34.2971,151.25,400002
0206260057,4,equipment,0220503,Retail-Equipment Hours,2.33,HOURS,100.3219,233.75,400003
0206260058,1,material,0301322,BeautiBark,59.0,YARD,68.9831,4070.0,400000
0206260058,2,labor,0220502,Retail Labor Hours,18.97,HOURS,14.4966,275.0,400002
0206260058,3,equipment,0220503,Retail-Equipment Hours,6.32,HOURS,67.2468,425.0,400003
0206260059,1,material,0301020,Premium Hemlock Bark,69.0,YARD,55.0399,3797.75,400000
0206260059,2,labor,0220502,Retail Labor Hours,28.62,HOURS,24.8777,712.0,400002
0206260059,3,equipment,0220503,Retail-Equipment Hours,9.54,HOURS,117.4004,1120.0,400003
0206260059,4,discount,0301020,Volume Discount,0.0,YARD,,-400.0,400000
0206260060,1,material,0301322,BeautiBark,23.0,YARD,47.5161,1092.87,400000
0206260060,2,labor,0220502,Retail Labor Hours,8.22,HOURS,17.5949,144.63,400002
0206260060,3,equipment,0220503,Retail-Equipment Hours,4.14,HOURS,54.9517,227.5,400003
0206260061,1,material,0301322,BeautiBark,15.0,YARD,31.6667,475.0,400000
0206260061,2,labor,0220502,Retail Labor Hours,10.4,HOURS,15.8654,165.0,400002
0206260061,3,equipment,0220503,Retail-Equipment Hours,3.47,HOURS,73.487,255.0,400003
0206260062,1,material,0301322,BeautiBark,8.0,YARD,29.375,235.0,400000
0206260062,2,labor,0220502,Retail Labor Hours,3.15,HOURS,48.0159,151.25,400002
0206260062,3,equipment,0220503,Retail-Equipment Hours,1.05,HOURS,222.619,233.75,400003
0206260063,1,material,0301322,BeautiBark,5.0,YARD,98.35,491.75,400000
0206260063,2,labor,0220502,Retail Labor Hours,10.18,HOURS,13.0894,133.25,400002
0206260063,3,equipment,0220503,Retail-Equipment Hours,2.92,HOURS,71.9178,210.0,400003
0206260063,4,discount,0301322,Warranty,0.0,YARD,,-835.0,400000
